# time, u, cmd
1.137200893300000004e+01,-3.881301963701844215e-03,-2.983733313158154488e-03
1.140024291699999992e+01,-3.874752204865217209e-03,-2.960697980597615242e-03
1.143012887000000077e+01,-3.867424791678786278e-03,-2.925502602010965347e-03
1.146011702600000071e+01,-3.860415425151586533e-03,-2.896399470046162605e-03
1.149086080400000043e+01,-3.852613735944032669e-03,-2.882261294871568680e-03
1.152028883800000081e+01,-3.852613735944032669e-03,-2.871684730052947998e-03
1.154991539799999956e+01,-3.844379214569926262e-03,-2.843416295945644379e-03
1.158123345799999981e+01,-3.835325129330158234e-03,-2.811625367030501366e-03
1.161072135699999919e+01,-3.826960688456892967e-03,-2.788257785141468048e-03
1.163997819499999942e+01,-3.821222577244043350e-03,-2.754518063738942146e-03
1.167126971899999965e+01,-3.811981994658708572e-03,-2.698369789868593216e-03
1.170013704700000012e+01,-3.805004060268402100e-03,-2.637406345456838608e-03
1.172988714000000066e+01,-3.795245429500937462e-03,-2.588157542049884796e-03
1.175990669599999983e+01,-3.785408800467848778e-03,-2.545429626479744911e-03
1.179167319599999963e+01,-3.777881152927875519e-03,-2.489160979166626930e-03
1.181974121700000069e+01,-3.777881152927875519e-03,-2.412394387647509575e-03
1.184987292199999942e+01,-3.767909016460180283e-03,-2.341067884117364883e-03
1.188006203399999983e+01,-3.757457248866558075e-03,-2.285878406837582588e-03
1.191047848300000034e+01,-3.748142858967185020e-03,-2.245433162897825241e-03
1.194030260399999932e+01,-3.741217544302344322e-03,-2.222622744739055634e-03
1.197160913699999973e+01,-3.735898295417428017e-03,-2.213566098362207413e-03
1.200014736700000029e+01,-3.727675415575504303e-03,-2.205645665526390076e-03
1.202976170900000064e+01,-3.727675415575504303e-03,-2.182447118684649467e-03
1.206084434799999983e+01,-3.714420134201645851e-03,-2.150501357391476631e-03
1.209125193799999920e+01,-3.707329276949167252e-03,-2.125897444784641266e-03
1.212027163299999977e+01,-3.699364140629768372e-03,-2.100575016811490059e-03
1.214980300600000085e+01,-3.687973134219646454e-03,-2.052239608019590378e-03
1.218128032499999946e+01,-3.677350934594869614e-03,-1.985409995540976524e-03
1.221027733300000051e+01,-3.659775946289300919e-03,-1.900103408843278885e-03
1.224100877899999951e+01,-3.659775946289300919e-03,-1.792181516066193581e-03
1.227177976499999978e+01,-3.648966085165739059e-03,-1.677096704952418804e-03
1.230062163700000077e+01,-3.640267765149474144e-03,-1.572556444443762302e-03
1.233003809500000081e+01,-3.633277025073766708e-03,-1.510467729531228542e-03
1.236045954899999977e+01,-3.624938428401947021e-03,-1.479187048971652985e-03
1.239236019300000002e+01,-3.614791436120867729e-03,-1.451066229492425919e-03
1.242219366399999991e+01,-3.614791436120867729e-03,-1.428637420758605003e-03
1.244975194000000052e+01,-3.608586499467492104e-03,-1.396446372382342815e-03
1.248090274599999994e+01,-3.600577590987086296e-03,-1.350147766061127186e-03
1.250977560799999999e+01,-3.590741194784641266e-03,-1.308999955654144287e-03
1.254001744400000007e+01,-3.577244235202670097e-03,-1.274620648473501205e-03
